i,direction,te,ete,se,p,history length
Normal 1,L->R,0.015404168,0.012236579,0.001199324,0,1
Normal 1,R->L,0.006828747,0.003571633,0.001221512,0,1
Normal 1,L->R,0.034465002,0.020021836,0.003090703,0,2
Normal 1,R->L,0.032844564,0.020252859,0.002922203,0,2
Normal 1,L->R,0.040868712,0.011461303,0.004752019,0,3
Normal 1,R->L,0.039520876,0.015932327,0.004970651,0,3
Normal 1,L->R,0.048296594,0.005236723,0.005217829,0,4
Normal 1,R->L,0.040611014,0.008103654,0.005975144,0.05,4
Normal 1,L->R,0.047990807,0,0.006049645,0.02,5
Normal 1,R->L,0.042387824,0.003885428,0.007606489,0.24,5
Normal 1,L->R,0.050004837,0,0.008004856,0.17,6
Normal 1,R->L,0.047753203,0.002006865,0.008067533,0.34,6
Normal 1,L->R,0.048431834,0,0.007666288,0.65,7
Normal 1,R->L,0.052811945,0.000961463,0.009894189,0.42,7
Normal 1,L->R,0.048185813,0,0.009073106,0.87,8
Normal 1,R->L,0.050553524,0,0.010176716,0.78,8
Normal 1,L->R,0.045177535,0,0.00973792,0.95,9
Normal 1,R->L,0.051059491,0,0.0104325,0.94,9
Normal 1,L->R,0.040855683,0,0.00925647,1,10
Normal 1,R->L,0.052626164,0,0.010891613,0.99,10
Normal 1,L->R,0.040855963,0,0.009416925,1,11
Normal 1,R->L,0.051840848,0,0.010741767,1,11
Normal 1,L->R,0.04096949,0,0.009439763,1,12
Normal 1,R->L,0.053207764,0,0.010405026,1,12
Normal 1,L->R,0.040789399,0,0.009595548,1,13
Normal 1,R->L,0.053357487,0,0.009431071,1,13
Normal 1,L->R,0.042069959,0,0.009684334,1,14
Normal 1,R->L,0.050234306,0,0.00921527,1,14
Normal 1,L->R,0.039878419,0,0.008869364,1,15
Normal 1,R->L,0.047515764,0,0.008572413,1,15
Normal 1,L->R,0.035693433,0,0.009356885,1,16
Normal 1,R->L,0.048116938,0,0.008621341,1,16
Normal 1,L->R,0.031740758,0,0.009171033,1,17
Normal 1,R->L,0.046035727,0,0.007853829,1,17
Normal 1,L->R,0.0314672,0,0.008474007,1,18
Normal 1,R->L,0.044833782,0,0.008813109,1,18
Normal 1,L->R,0.032909409,0,0.008230395,1,19
Normal 1,R->L,0.044958091,0,0.008264181,1,19
Normal 1,L->R,0.032465147,0,0.008231514,1,20
Normal 1,R->L,0.045026759,0,0.009031156,1,20
Normal 2,L->R,0.007750094,0.004213035,0.001503431,0.02,1
Normal 2,R->L,0.013875118,0.010716098,0.00120238,0,1
Normal 2,L->R,0.015757002,0.001981934,0.003110718,0.11,2
Normal 2,R->L,0.019895091,0.008036338,0.002982815,0.01,2
Normal 2,L->R,0.032396807,0.001992074,0.004915697,0.03,3
Normal 2,R->L,0.031920122,0.00820344,0.004063956,0.01,3
Normal 2,L->R,0.046778323,0,0.006487027,0,4
Normal 2,R->L,0.043488285,0.008773852,0.006828869,0.03,4
Normal 2,L->R,0.054900386,0,0.007739212,0.01,5
Normal 2,R->L,0.046485212,0.003787055,0.007949121,0.14,5
Normal 2,L->R,0.051495124,0,0.007874688,0.28,6
Normal 2,R->L,0.045577293,0,0.008916172,0.53,6
Normal 2,L->R,0.051137727,0,0.008368429,0.65,7
Normal 2,R->L,0.04888119,0,0.010450227,0.7,7
Normal 2,L->R,0.047066096,0,0.00912599,0.97,8
Normal 2,R->L,0.047501768,0,0.00987876,0.93,8
Normal 2,L->R,0.039149017,0,0.010034092,1,9
Normal 2,R->L,0.044081514,0,0.011967294,0.97,9
Normal 2,L->R,0.038252997,0,0.009698069,1,10
Normal 2,R->L,0.042655453,0,0.009601433,1,10
Normal 2,L->R,0.034931261,0,0.008688657,1,11
Normal 2,R->L,0.038441202,0,0.010650334,1,11
Normal 2,L->R,0.03322466,0,0.009609994,1,12
Normal 2,R->L,0.033768183,0,0.010496617,1,12
Normal 2,L->R,0.032617281,0,0.00851473,1,13
Normal 2,R->L,0.032031387,0,0.01021113,1,13
Normal 2,L->R,0.033253293,0,0.00925531,1,14
Normal 2,R->L,0.029970597,0,0.009078606,1,14
Normal 2,L->R,0.034526262,0,0.008385153,1,15
Normal 2,R->L,0.028422166,0,0.009203358,1,15
Normal 2,L->R,0.033637678,0,0.007757641,1,16
Normal 2,R->L,0.024411216,0,0.008100935,1,16
Normal 2,L->R,0.033007561,0,0.008275492,1,17
Normal 2,R->L,0.021578779,0,0.007535689,1,17
Normal 2,L->R,0.033187331,0,0.008210548,1,18
Normal 2,R->L,0.021635842,0,0.008501004,1,18
Normal 2,L->R,0.036880448,0,0.007750429,1,19
Normal 2,R->L,0.021238802,0,0.00766601,1,19
Normal 2,L->R,0.036775153,0,0.008375851,1,20
Normal 2,R->L,0.020665471,0,0.008362679,1,20
Normal 3,L->R,0.034985982,0.03078301,0.001299875,0,1
Normal 3,R->L,0.032030861,0.027848919,0.001477125,0,1
Normal 3,L->R,0.061051807,0.041983752,0.003627192,0,2
Normal 3,R->L,0.056583106,0.041605427,0.00342626,0,2
Normal 3,L->R,0.064841642,0.030645728,0.007045158,0,3
Normal 3,R->L,0.044984835,0.020305061,0.007403816,0.02,3
Normal 3,L->R,0.050326422,0.006316189,0.008829598,0.02,4
Normal 3,R->L,0.040863439,0.011885424,0.009550984,0.3,4
Normal 3,L->R,0.041293982,0,0.008396533,0.25,5
Normal 3,R->L,0.032306847,0.000636781,0.009259724,0.78,5
Normal 3,L->R,0.046200846,0,0.008000775,0.25,6
Normal 3,R->L,0.032908489,0,0.011060804,0.89,6
Normal 3,L->R,0.042832757,0,0.009498554,0.41,7
Normal 3,R->L,0.035746927,0.001948749,0.010403476,0.86,7
Normal 3,L->R,0.040780234,0,0.008154764,0.32,8
Normal 3,R->L,0.032867291,0,0.008994902,0.87,8
Normal 3,L->R,0.04177489,0,0.008534239,0.66,9
Normal 3,R->L,0.028921111,0,0.01040601,1,9
Normal 3,L->R,0.03961851,0,0.008955587,0.95,10
Normal 3,R->L,0.02665226,0,0.011846733,1,10
Normal 3,L->R,0.036365713,0,0.008613475,0.98,11
Normal 3,R->L,0.02448623,0,0.011214446,1,11
Normal 3,L->R,0.035652332,0,0.00834967,0.99,12
Normal 3,R->L,0.022701441,0,0.010260734,1,12
Normal 3,L->R,0.029182154,0,0.008279888,1,13
Normal 3,R->L,0.021498997,0,0.010258664,1,13
Normal 3,L->R,0.023907222,0,0.007128616,1,14
Normal 3,R->L,0.021451911,0,0.00944935,1,14
Normal 3,L->R,0.023273194,0,0.006843949,1,15
Normal 3,R->L,0.019606105,0,0.010000726,1,15
Normal 3,L->R,0.020812734,0,0.008281417,1,16
Normal 3,R->L,0.019543984,0,0.009453977,1,16
Normal 3,L->R,0.020824785,0,0.007514333,1,17
Normal 3,R->L,0.020350224,0,0.008493675,1,17
Normal 3,L->R,0.019917362,0,0.00705986,1,18
Normal 3,R->L,0.020272489,0,0.00669259,1,18
Normal 3,L->R,0.019929643,0,0.007060047,1,19
Normal 3,R->L,0.020094346,0,0.007653116,1,19
Normal 3,L->R,0.019060254,0,0.007086124,1,20
Normal 3,R->L,0.019729796,0,0.00723762,1,20
Exaggerated 1,L->R,0.016744159,0.01266148,0.001424726,0,1
Exaggerated 1,R->L,0.005144599,0.00183268,0.001286496,0.09,1
Exaggerated 1,L->R,0.035387071,0.020236671,0.00322858,0,2
Exaggerated 1,R->L,0.026909608,0.013881187,0.002911251,0,2
Exaggerated 1,L->R,0.041748568,0.01335686,0.00485424,0,3
Exaggerated 1,R->L,0.032305976,0.009567184,0.004780583,0.01,3
Exaggerated 1,L->R,0.049713783,0.009100493,0.005781564,0,4
Exaggerated 1,R->L,0.034530941,0.003644619,0.006229993,0.14,4
Exaggerated 1,L->R,0.05355906,0.003851407,0.00800877,0.01,5
Exaggerated 1,R->L,0.030098555,0,0.007149771,0.84,5
Exaggerated 1,L->R,0.053336606,0,0.009456837,0.14,6
Exaggerated 1,R->L,0.032122143,0,0.008178796,0.94,6
