i,direction,te,ete,se,p,history length
Normal 1,L->R,0.022025294,0.018528082,0.001398855,0,1
Normal 1,R->L,0.00624155,0.002595327,0.001358802,0.03,1
Normal 1,L->R,0.034226759,0.020719787,0.003740989,0,2
Normal 1,R->L,0.028451495,0.01237547,0.003658814,0,2
Normal 1,L->R,0.042875433,0.017687796,0.004470835,0,3
Normal 1,R->L,0.04276576,0.007793656,0.005883547,0,3
Normal 1,L->R,0.044327627,0.010264744,0.006884667,0.08,4
Normal 1,R->L,0.046660877,0,0.006968428,0.03,4
Normal 1,L->R,0.043681075,0.001379118,0.007785227,0.5,5
Normal 1,R->L,0.042303381,0,0.008530664,0.32,5
Normal 1,L->R,0.045981705,0,0.009109279,0.88,6
Normal 1,R->L,0.042261113,0,0.009147847,0.63,6
Normal 1,L->R,0.043391787,0,0.009728167,0.99,7
Normal 1,R->L,0.03855092,0,0.008982349,0.95,7
Normal 1,L->R,0.044652201,0,0.011865747,0.99,8
Normal 1,R->L,0.036819933,0,0.010588106,0.99,8
Normal 1,L->R,0.045450421,0,0.010998869,1,9
Normal 1,R->L,0.034146149,0,0.010530178,1,9
Normal 1,L->R,0.042211219,0,0.010848512,1,10
Normal 1,R->L,0.03493463,0,0.009983683,1,10
Normal 1,L->R,0.040584568,0,0.009896025,1,11
Normal 1,R->L,0.031386256,0,0.009113798,1,11
Normal 1,L->R,0.038494286,0,0.008808242,1,12
Normal 1,R->L,0.031448141,0,0.008960237,1,12
Normal 1,L->R,0.039224116,0,0.010508856,1,13
Normal 1,R->L,0.029324865,0,0.009502795,1,13
Normal 1,L->R,0.039432635,0,0.010508699,1,14
Normal 1,R->L,0.026714085,0,0.008519975,1,14
Normal 1,L->R,0.039051245,0,0.010043502,1,15
Normal 1,R->L,0.025747148,0,0.008887939,1,15
Normal 1,L->R,0.03954912,0,0.008369051,1,16
Normal 1,R->L,0.029885842,0,0.008383633,1,16
Normal 1,L->R,0.039534226,0,0.008532168,1,17
Normal 1,R->L,0.033798836,0,0.008778326,1,17
Normal 1,L->R,0.04244008,0,0.008076306,1,18
Normal 1,R->L,0.03832413,0,0.007362779,1,18
Normal 1,L->R,0.040432237,0,0.007867897,1,19
Normal 1,R->L,0.042960116,0,0.008537829,1,19
Normal 1,L->R,0.037800058,0,0.008322558,1,20
Normal 1,R->L,0.043666187,0,0.008596441,1,20
Normal 2,L->R,0.028311213,0.024833545,0.001320479,0,1
Normal 2,R->L,0.011384501,0.007819083,0.00138352,0,1
Normal 2,L->R,0.031074517,0.017963989,0.002643738,0,2
Normal 2,R->L,0.031211578,0.016901411,0.003278128,0,2
Normal 2,L->R,0.036365285,0.011187275,0.004652798,0,3
Normal 2,R->L,0.028828439,0.001305933,0.005172052,0.08,3
Normal 2,L->R,0.045031802,0.006709916,0.006132592,0.01,4
Normal 2,R->L,0.030506496,0,0.006034782,0.4,4
Normal 2,L->R,0.045847512,0,0.007251981,0.17,5
Normal 2,R->L,0.033649395,0,0.007505017,0.72,5
Normal 2,L->R,0.052245302,0,0.009361034,0.35,6
Normal 2,R->L,0.034118846,0,0.008435864,0.89,6
Normal 2,L->R,0.046285425,0,0.009548955,0.83,7
Normal 2,R->L,0.036541926,0,0.01089657,0.97,7
Normal 2,L->R,0.04526188,0,0.010242725,0.97,8
Normal 2,R->L,0.037995002,0,0.009799153,1,8
Normal 2,L->R,0.046604864,0,0.011089558,0.98,9
Normal 2,R->L,0.039225942,0,0.009404362,1,9
Normal 2,L->R,0.046937688,0,0.010623188,1,10
Normal 2,R->L,0.039079264,0,0.010978148,1,10
Normal 2,L->R,0.050276291,0,0.00983542,1,11
Normal 2,R->L,0.03866465,0,0.010149994,1,11
Normal 2,L->R,0.048246289,0,0.009872609,1,12
Normal 2,R->L,0.038173096,0,0.010976285,1,12
Normal 2,L->R,0.047093952,0,0.010571149,1,13
Normal 2,R->L,0.038518103,0,0.009353053,1,13
Normal 2,L->R,0.049822759,0,0.010124037,1,14
Normal 2,R->L,0.040798787,0,0.009088967,1,14
Normal 2,L->R,0.050572265,0,0.009526109,1,15
Normal 2,R->L,0.042639063,0,0.008540879,1,15
Normal 2,L->R,0.051604964,0,0.008547044,1,16
Normal 2,R->L,0.041072121,0,0.007896854,1,16
Normal 2,L->R,0.050333779,0,0.00828973,1,17
Normal 2,R->L,0.038676535,0,0.007896346,1,17
Normal 2,L->R,0.048782328,0,0.009807579,1,18
Normal 2,R->L,0.039915063,0,0.00837748,1,18
Normal 2,L->R,0.048098093,0,0.008342299,1,19
Normal 2,R->L,0.040371889,0,0.008403911,1,19
Normal 2,L->R,0.047369746,0,0.009034426,1,20
Normal 2,R->L,0.03859986,0,0.008105945,1,20
Normal 3,L->R,0.047845257,0.043672472,0.001396617,0,1
