i,direction,te,ete,se,p,history length
Normal 1,L->R,0.01126733,0.007730137,0.001413193,0,1
Normal 1,R->L,0.011656272,0.008027173,0.001510757,0,1
Normal 1,L->R,0.031869364,0.018964533,0.003173783,0,2
Normal 1,R->L,0.021708911,0.008382324,0.003423247,0.03,2
Normal 1,L->R,0.030832412,0.004587261,0.004435812,0.03,3
Normal 1,R->L,0.021347479,0,0.005345125,0.44,3
Normal 1,L->R,0.036212337,0,0.005660025,0.14,4
Normal 1,R->L,0.023734735,0,0.006376892,0.82,4
Normal 1,L->R,0.046616406,0,0.006896694,0.06,5
Normal 1,R->L,0.028549065,0,0.007699174,0.96,5
Normal 1,L->R,0.049741429,0,0.009083921,0.31,6
Normal 1,R->L,0.025306173,0,0.009585735,1,6
Normal 1,L->R,0.049662222,0,0.010271904,0.58,7
Normal 1,R->L,0.022174985,0,0.010239763,1,7
Normal 1,L->R,0.047633364,0,0.00847196,0.95,8
Normal 1,R->L,0.02506977,0,0.011388574,1,8
Normal 1,L->R,0.04632817,0,0.008827127,0.99,9
Normal 1,R->L,0.022439545,0,0.011057585,1,9
Normal 1,L->R,0.046252799,0,0.008656778,0.99,10
Normal 1,R->L,0.021832334,0,0.011012789,1,10
Normal 1,L->R,0.047475636,0,0.01003673,1,11
Normal 1,R->L,0.022190538,0,0.010580868,1,11
Normal 1,L->R,0.048872212,0,0.009369503,1,12
Normal 1,R->L,0.020305934,0,0.008766095,1,12
Normal 1,L->R,0.051182737,0,0.009951844,0.99,13
Normal 1,R->L,0.019230707,0,0.01016705,1,13
Normal 1,L->R,0.05162506,0,0.008264525,1,14
Normal 1,R->L,0.020459854,0,0.009548187,1,14
Normal 1,L->R,0.051457802,0,0.007475273,1,15
Normal 1,R->L,0.018187275,0,0.007700068,1,15
Normal 1,L->R,0.051481638,0,0.009012444,1,16
Normal 1,R->L,0.021378262,0,0.009680696,1,16
Normal 1,L->R,0.051892156,0,0.009287848,1,17
Normal 1,R->L,0.023350229,0,0.010252995,1,17
Normal 1,L->R,0.050919472,0,0.00793939,1,18
Normal 1,R->L,0.023869305,0,0.008858325,1,18
Normal 1,L->R,0.050738199,0,0.007513714,1,19
Normal 1,R->L,0.022327769,0,0.008101176,1,19
Normal 1,L->R,0.052900469,0,0.007639485,1,20
Normal 1,R->L,0.022944704,0,0.008981339,1,20
Normal 2,L->R,0.011784301,0.008391519,0.001349718,0,1
Normal 2,R->L,0.004958669,0.00192637,0.001525627,0.1,1
